epoch,train_loss_mean,train_task_loss_mean,train_dom_loss_mean,val_rmse,grl_lambda_last,lr,target_city
1,1.8220981704561334,1.4830134134543569,1.695423728541324,10.515567779541016,0.009249736191320634,0.0008,贵阳市
2,1.7439457146744979,1.4177004741994959,1.631226188258121,10.490097045898438,0.018747803043321465,0.0008,贵阳市
3,1.6814389793496383,1.3825350309673108,1.494519685444079,10.480021476745605,0.028242487309687814,0.0008,贵阳市
4,1.6488991944413436,1.3517255500743264,1.4858681528191817,10.460389137268066,0.0377320781793582,0.0008,贵阳市
5,1.627959756474746,1.3364120753187883,1.4577383744089227,10.461066246032715,0.04721486851358714,0.0008,贵阳市
6,1.6076091778905768,1.3118542401414168,1.4787746228669818,10.478878021240234,0.056689156072175395,0.0008,贵阳市
7,1.6144227040441412,1.3106792302508103,1.5187173140676398,10.438090324401855,0.0661532447322093,0.0008,贵阳市
8,1.611145788117459,1.312836645465148,1.4915456269916736,10.473963737487793,0.07560544569746064,0.0008,贵阳市
1,1.521165945028004,1.1787916359148527,1.7118714985094572,5.757320404052734,0.009249736191320634,0.0008,遵义市
2,1.464863099549946,1.131505450135783,1.6667882015830593,5.754173278808594,0.018747803043321465,0.0008,遵义市
3,1.4429293651329844,1.1179821193218231,1.624736183568051,5.7040839195251465,0.028242487309687814,0.0008,遵义市
4,1.3920460876665617,1.0801662332133244,1.5593992534436678,5.747225761413574,0.0377320781793582,0.0008,遵义市
5,1.3622072401799654,1.0602743358988511,1.5096644351356907,5.711256504058838,0.04721486851358714,0.0008,遵义市
6,1.3409032100125362,1.0481047049949044,1.4639924701891447,5.719954013824463,0.056689156072175395,0.0008,遵义市
7,1.338277888925452,1.0480026163552936,1.4513762624640214,5.690154552459717,0.0661532447322093,0.0008,遵义市
8,1.3317598041735197,1.0396298781821602,1.4606495907432155,5.7454986572265625,0.07560544569746064,0.0008,遵义市
1,1.770610467383736,1.4422574984399896,1.6417647913882607,9.688241004943848,0.009249736191320634,0.0008,六盘水市
2,1.6289326172125966,1.3239339292049408,1.5249933945505243,9.664401054382324,0.018747803043321465,0.0008,六盘水市
3,1.593998604699185,1.2773591703490208,1.5831971419484991,9.635714530944824,0.028242487309687814,0.0008,六盘水市
4,1.5385934334052236,1.2385902232245396,1.5000159614964534,9.6810302734375,0.0377320781793582,0.0008,六盘水市
5,1.5181157965409129,1.2223777865108691,1.478689996819747,9.669511795043945,0.04721486851358714,0.0008,六盘水市
6,1.4989875523667586,1.2096731223558124,1.4465721531918174,9.689007759094238,0.056689156072175395,0.0008,六盘水市
7,1.4839837300150018,1.1935236516751742,1.452300322683234,9.652349472045898,0.0661532447322093,0.0008,六盘水市
8,1.4817466861323307,1.1856904641578072,1.4802810267398232,9.608019828796387,0.07560544569746064,0.0008,六盘水市
1,1.9751590208003396,1.6214976216617383,1.7683069329512746,11.565147399902344,0.009249736191320634,0.0008,安顺市
